Accident_ID,Accident_Type_Code,Adverse_Weather_Metric,Cabin_Temperature,Control_Metric,Days_Since_Inspection,Max_Elevation,Safety_Score,Severity,Total_Safety_Complaints,Turbulence_In_gforces,Violations,source
7570,2,0.42435208330785296,78.04,71.285323609845,14,31335.4768243775,49.2237442922374,Minor_Damage_And_Injuries,22,0.272117562206996,3,train
12128,2,0.352349972573073,84.54,72.2880583409298,10,26024.711057085402,62.4657534246575,Minor_Damage_And_Injuries,27,0.42393869455463395,2,train
2181,7,0.0033639069942974697,78.86,66.362807657247,13,39269.0539266116,63.0593607305936,Significant_Damage_And_Fatalities,16,0.322604399567255,3,train
5946,3,0.211728167404242,81.79,74.7037374658159,11,42771.4992003673,48.082191780821894,Significant_Damage_And_Serious_Injuries,9,0.33702921024161503,1,train
9054,3,0.17688336838481103,77.16,47.9489516864175,13,35509.2285154196,26.4840182648402,Significant_Damage_And_Fatalities,25,0.541140281283808,2,train
10947,2,0.394504816380126,78.63,73.33637192342749,15,29288.448104915497,43.3333333333333,Minor_Damage_And_Injuries,0,0.43295420122610906,1,train
4717,4,0.0588715558622953,88.04,62.853236098450296,15,32342.109345125602,22.0091324200913,Highly_Fatal_And_Damaging,10,0.314670753696357,0,train
8008,4,0.0404193589227867,83.48,60.80218778486779,18,22547.195241547597,24.703196347031998,Minor_Damage_And_Injuries,4,0.5483526866209879,2,train
8179,2,0.6191857633807429,78.24,69.2342752962625,5,45751.983412795096,54.84018264840179,Highly_Fatal_And_Damaging,40,0.335586729174179,0,train
6324,1,1.3892954965549498,79.56,57.4293527803099,6,37933.3990008527,52.2374429223744,Significant_Damage_And_Serious_Injuries,4,0.465410025243419,1,train
3789,2,0.424911513212429,81.15,80.21877848678221,11,31463.568565177902,36.6666666666667,Highly_Fatal_And_Damaging,11,0.45278831590335294,2,train
8946,3,0.111873408309966,77.8,62.807657247037405,11,22570.030397977098,48.1278538812785,Significant_Damage_And_Serious_Injuries,2,0.329095564370718,4,train
3629,3,0.22251011202462803,77.23,68.9608021877849,12,44697.8687399317,42.8767123287671,Significant_Damage_And_Serious_Injuries,14,0.15960403894698902,3,train
2451,7,0.00256728363044899,80.78,78.669097538742,13,30882.7263765865,63.6529680365297,Significant_Damage_And_Fatalities,4,0.232088712585647,3,train
4028,3,0.0958059182791733,81.63,83.54603463992709,14,18915.509024870702,26.027397260274,Highly_Fatal_And_Damaging,2,0.3629938694554629,2,train
10493,3,0.12376105756485901,78.86,85.5515041020967,7,25083.6579094431,49.5890410958904,Highly_Fatal_And_Damaging,1,0.27031446087270106,2,train
20,6,0.0112415293720467,82.08,68.003646308113,18,47893.7179720062,10.867579908675802,Highly_Fatal_And_Damaging,1,0.309622069960331,3,train
2064,4,0.0665145741903083,80.82,37.8304466727438,10,35910.2004117809,38.767123287671204,Significant_Damage_And_Fatalities,4,0.600282005048683,1,train
2765,2,0.462514456126825,82.2,61.485870556062004,8,34354.111221382205,78.2191780821918,Significant_Damage_And_Fatalities,3,0.33811107104219196,2,train
2938,2,0.15978428784918697,78.37,41.5679124886053,15,11503.388560834199,20.2283105022831,Significant_Damage_And_Fatalities,2,0.687191489361702,1,train
10309,2,0.538862339469786,81.62,73.2452142206017,13,39835.7183100935,52.4657534246575,Minor_Damage_And_Injuries,0,0.22199134511359503,1,train
3918,2,0.50848625905791,79.31,74.9316317228806,17,37435.5727950293,38.4474885844749,Minor_Damage_And_Injuries,5,0.326571222502704,2,train
4830,4,0.0839917945185517,78.21,80.5834092980857,8,45783.5276614128,44.84018264840179,Highly_Fatal_And_Damaging,2,0.249759105661738,0,train
6630,1,1.66486418964678,78.97,68.003646308113,15,45541.2367525593,43.8812785388128,Minor_Damage_And_Injuries,1,0.338471691309052,2,train
11434,5,0.0324373855024073,76.19,47.265268915223395,14,49288.6355066503,25.296803652968002,Significant_Damage_And_Fatalities,5,0.5948727010457989,3,train
10987,6,0.0106066637907699,78.07,66.1349134001823,13,42607.0710974919,61.8264840182648,Significant_Damage_And_Fatalities,7,0.423217454020916,1,train
8830,7,0.0030220785773064102,90.87,61.6226071103008,14,32342.3133839545,59.2694063926941,Significant_Damage_And_Fatalities,3,0.331980526505589,3,train
2237,4,0.0486259930836168,76.75,70.7839562443026,14,26538.322262979,24.337899543379002,Highly_Fatal_And_Damaging,0,0.267790119004688,1,train
4196,7,0.0029156570877262103,77.03,70.3281677301732,15,28451.0147010119,55.0228310502283,Significant_Damage_And_Fatalities,9,0.5122906599350879,0,train
4755,3,0.19486962941320102,79.75,48.1312670920693,5,39150.6721955048,65.7534246575342,Highly_Fatal_And_Damaging,20,0.6381471330688779,1,train
5438,5,0.0107749305075961,78.78,74.65815861440291,8,15868.4439388883,68.7671232876712,Minor_Damage_And_Injuries,2,0.33450486837360305,2,train
6012,4,0.0657328863038229,78.29,48.6326344576117,15,35960.976402256805,32.648401826484,Minor_Damage_And_Injuries,1,0.431151099891814,2,train
8779,4,0.0758299007487241,77.27,76.7547857793984,7,41509.545282458,48.3561643835616,Highly_Fatal_And_Damaging,2,0.293033537684818,3,train
9273,5,0.0181978246117614,78.7,44.712853236098496,12,28579.1660477413,53.9269406392694,Highly_Fatal_And_Damaging,5,0.571071763433105,1,train
9173,7,0.00460286344892508,79.42,60.6198723792161,9,52249.610146137195,54.7488584474886,Significant_Damage_And_Serious_Injuries,28,0.527436711143166,3,train
6809,2,0.4244823581168529,77.18,55.6061987237922,17,31365.239571317998,14.5205479452055,Significant_Damage_And_Fatalities,3,0.30998269022719105,3,train
7462,1,1.7000268879320202,76.8,41.020966271649996,9,45255.700735690196,40.821917808219204,Significant_Damage_And_Fatalities,7,0.5433040028849621,2,train
382,6,0.00964423065045325,81.86,59.6627164995442,12,37571.9051001859,43.6529680365297,Significant_Damage_And_Serious_Injuries,2,0.42213559322033894,0,train
5152,2,0.382453188083348,81.26,67.86690975387421,6,28213.4276195929,75.98173515981729,Minor_Damage_And_Injuries,12,0.352535881716553,4,train
8616,6,0.0115453696276444,78.62,49.863263445761206,13,46457.4404448416,40.0,Minor_Damage_And_Injuries,8,0.357223945185719,3,train
6514,2,0.30011361651155,77.52,97.9945305378305,14,21526.324250148202,47.899543378995396,Minor_Damage_And_Injuries,1,0.20900901550667103,2,train
2210,2,0.422074757716085,76.39,68.9608021877849,12,31195.9927218196,32.557077625570805,Highly_Fatal_And_Damaging,9,0.30998269022719105,0,train
5783,4,0.0664963794143816,76.89,68.91522333637201,8,36156.8263602184,44.794520547945204,Highly_Fatal_And_Damaging,2,0.151670393076091,0,train
4445,4,0.0704801840529321,75.35,67.50227894257071,7,38277.0201603213,46.25570776255711,Highly_Fatal_And_Damaging,2,0.269232600072124,0,train
10051,3,0.18927904197012,80.35,61.6681859617138,13,37974.6171677544,41.3698630136986,Significant_Damage_And_Serious_Injuries,20,0.387876667868734,0,train
6047,3,0.111669094338871,80.0,53.09936189608021,9,22418.797459827598,53.6529680365297,Minor_Damage_And_Injuries,2,0.410235124413992,3,train
4540,3,0.256579480296917,79.12,49.863263445761206,12,52513.9126928886,42.100456621004604,Minor_Damage_And_Injuries,8,0.35433898305084705,4,train
6906,7,0.00203327570840989,79.53,74.06563354603459,13,21079.2995457879,65.296803652968,Significant_Damage_And_Fatalities,12,0.46613126577713604,0,train
7290,4,0.0356172029643824,75.2,53.327256153145,15,19484.2436106125,19.4063926940639,Significant_Damage_And_Fatalities,3,0.26670825820411104,3,train
11278,1,1.48431579962055,83.6,72.33363719234279,15,40822.7854450646,33.0593607305936,Significant_Damage_And_Serious_Injuries,15,0.442330328164443,2,train
6499,6,0.00811790790848975,84.13,47.538742023701,13,31631.230827543703,52.6027397260274,Highly_Fatal_And_Damaging,2,0.487768481788677,1,train
2272,4,0.0434693964976293,77.68,48.9061075660894,13,23561.292843337902,29.634703196346997,Significant_Damage_And_Fatalities,7,0.51156941940137,2,train
1180,6,0.0047760663608893104,76.2,71.8778486782133,13,17443.6548671994,41.7351598173516,Significant_Damage_And_Serious_Injuries,11,0.38030364226469504,2,train
5780,3,0.10639403449074698,76.95,56.79124886052871,9,21268.8395478725,40.365296803653,Highly_Fatal_And_Damaging,1,0.36443635052289897,3,train
12089,6,0.00916356586669669,78.84,76.5268915223336,16,37178.3769732465,30.4566210045662,Significant_Damage_And_Serious_Injuries,0,0.239661738189686,2,train
10487,2,0.306870692970856,76.37,45.442114858705594,13,22443.893571404904,40.7762557077626,Minor_Damage_And_Injuries,0,0.5981182834475289,1,train
2835,1,0.35922927079480893,79.63,62.7620783956244,14,10730.4301304362,37.1689497716895,Significant_Damage_And_Serious_Injuries,3,0.329095564370718,1,train
3697,6,0.008024948255931941,82.06,64.0382862351869,13,30858.543137353397,38.8127853881278,Significant_Damage_And_Serious_Injuries,18,0.46721312657771297,4,train
1564,6,0.00492049195200934,81.06,56.563354603464,11,17474.5485605647,45.205479452054796,Minor_Damage_And_Injuries,35,0.45964010097367497,1,train
87,4,0.057671471877196005,78.16,59.6171376481313,18,31278.3864504925,24.566210045662103,Significant_Damage_And_Serious_Injuries,6,0.273560043274432,2,train
7845,5,0.0112049590659801,79.76,77.52962625341841,12,14519.2418896442,43.3333333333333,Significant_Damage_And_Serious_Injuries,3,0.18556869816083602,2,train
6000,6,0.008176606091522421,78.6,85.6882406563355,8,32932.7239225323,56.62100456620999,Significant_Damage_And_Serious_Injuries,6,0.151670393076091,2,train
3168,1,1.1631821282771,81.16,58.7055606198724,9,31380.143920272796,42.648401826484,Highly_Fatal_And_Damaging,0,0.256610890732059,1,train
11015,1,0.9914334669509591,79.63,68.0948040109389,14,26992.7869170996,49.0867579908676,Minor_Damage_And_Injuries,4,0.29411539848539503,1,train
1459,4,0.0471571412717711,75.21,61.485870556062004,11,25794.580871847003,33.515981735159805,Highly_Fatal_And_Damaging,2,0.44413342949873796,3,train
7285,4,0.0460458912336435,81.94,83.8195077484048,14,25111.174904879503,25.296803652968002,Highly_Fatal_And_Damaging,3,0.301327803822575,2,train
3269,6,0.0128953266110588,78.39,79.7629899726527,14,49758.6415438009,37.3972602739726,Significant_Damage_And_Serious_Injuries,1,0.36083014785430895,2,train
2453,2,0.50921558962637,79.85,62.6709206927985,17,37474.0741743146,13.698630136986301,Highly_Fatal_And_Damaging,5,0.25841399206635396,1,train
10724,1,1.3583961336022699,86.42,49.31631722880589,12,37120.1716684666,53.9269406392694,Minor_Damage_And_Injuries,14,0.421053732419762,3,train
11302,3,0.170265585090925,82.66,79.7629899726527,11,34032.0959991224,48.6301369863014,Significant_Damage_And_Serious_Injuries,4,0.255168409664623,0,train
5524,3,0.145447149829291,78.75,58.933454876937105,9,29213.8409826863,52.4657534246575,Significant_Damage_And_Serious_Injuries,0,0.42538117562207,0,train
2415,6,0.00857347982384688,88.27,64.4940747493163,10,35818.6532209991,48.4474885844749,Significant_Damage_And_Serious_Injuries,27,0.368763793725207,2,train
3318,4,0.0869913348454806,79.89,49.5442114858706,11,47541.0050691026,38.310502283105,Significant_Damage_And_Fatalities,1,0.5155362423368189,3,train
4950,7,0.0044929035955593105,82.49,73.0173199635369,14,52189.5365431102,58.9954337899543,Significant_Damage_And_Fatalities,7,0.32080129823296005,0,train
8485,2,0.639480633874222,77.33,52.506836827712,15,47423.386064199294,45.388127853881294,Highly_Fatal_And_Damaging,3,0.5209455463397039,1,train
9552,1,1.21223592334104,76.02,74.24794895168641,12,32791.8421914493,30.6392694063927,Highly_Fatal_And_Damaging,6,0.23280995311936498,3,train
1318,3,0.203686644663722,79.84,62.6709206927985,17,41118.8206454296,13.789954337899498,Highly_Fatal_And_Damaging,0,0.300967183555716,3,train
11038,3,0.19665478666366898,78.28,78.0309936189608,13,39523.6657956433,39.4977168949772,Significant_Damage_And_Serious_Injuries,6,0.38102488279841296,2,train
24,3,0.16876079449003398,78.59,70.8751139471286,13,33528.5133497288,39.178082191780796,Significant_Damage_And_Serious_Injuries,7,0.42393869455463395,3,train
8932,2,0.420554790386963,87.05,76.9826800364631,11,30950.391312881402,56.8493150684931,Minor_Damage_And_Injuries,18,0.29447601875225393,3,train
10990,2,0.49916781630291795,83.45,64.8131267092069,11,36844.4611648139,58.4474885844749,Minor_Damage_And_Injuries,5,0.329095564370718,3,train
11035,1,0.6805149776311271,78.13,57.65724703737471,15,18584.990656943897,19.7716894977169,Highly_Fatal_And_Damaging,7,0.428626758023801,2,train
7291,3,0.224051804560772,78.56,72.5615314494075,10,45213.5076682407,51.689497716895,Significant_Damage_And_Serious_Injuries,1,0.38715542733501596,1,train
1208,7,0.0021957592815412303,78.66,65.1321786690975,13,26744.8667985702,27.8082191780822,Highly_Fatal_And_Damaging,5,0.3900403894698879,2,train
